Index,Type,Group,Day,Time,Venue,Remark
 71000,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_1,Wed,0830-0930,SPMS-TR+9, Teaching Wk2-13
 71001,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_2,Wed,0830-0930,SPMS-TR+7, Teaching Wk2-13
 71002,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_3,Wed,0830-0930,SPMS-TR+8, Teaching Wk2-13
 71003,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_4,Wed,0930-1030,SPMS-TR+9, Teaching Wk2-13
 71004,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_5,Wed,0930-1030,SPMS-TR+7, Teaching Wk2-13
 71005,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_6,Wed,0930-1030,SPMS-TR+8, Teaching Wk2-13
 71006,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_7,Wed,1030-1130,SPMS-TR+9, Teaching Wk2-13
 71007,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_8,Wed,1030-1130,SPMS-TR+7, Teaching Wk2-13
 71008,Lec/Studio,LE2,Tue,1130-1230,ONLINE,
,Lec/Studio,LE2,Fri,1430-1630,ONLINE,
,Tut,T_9,Wed,1030-1130,SPMS-TR+8, Teaching Wk2-13
